Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures
2020-05-01, 358, 8, 83.3, 41.1, 26.3, 10.2, 29.8
2020-05-02, 358, 8, 82.5, 36.6, 21.4, 11.7, 29.9
2020-05-03, 358, 8, 81.0, 36.3, 22.0, 7.8, 29.9
2020-05-04, 379, 8, 82.1, 38.4, 24.0, 7.3, 29.9
2020-05-05, 400, 8, 85.4, 32.9, 20.5, 6.4, 29.9
2020-05-06, 419, 8, 88.5, 39.1, 21.1, 5.5, 29.8
2020-05-07, 455, 8, 89.1, 34.5, 15.9, 5.5, 29.8
2020-05-08, 512, 11, 88.4, 43.8, 24.8, 5.1, 29.8
2020-05-09, 512, 11, 85.8, 56.9, 41.3, 7.0, 29.8
2020-05-10, 512, 11, 87.5, 53.6, 34.5, 9.4, 29.8
2020-05-11, 564, 11, 83.0, 39.5, 23.2, 9.2, 29.8
2020-05-12, 603, 12, 76.9, 38.1, 26.4, 16.6, 29.9
2020-05-13, 647, 13, 75.4, 45.1, 36.2, 12.7, 29.9
2020-05-14, 712, 14, 77.6, 44.6, 33.6, 8.3, 29.9
2020-05-15, 786, 14, 80.2, 45.8, 32.5, 7.3, 29.8
2020-05-16, 786, 14, 84.2, 50.9, 33.4, 5.5, 29.8
2020-05-17, 786, 14, 84.0, 53.9, 39.9, 8.1, 29.8
2020-05-18, 876, 14, 80.2, 40.0, 27.5, 13.2, 29.8
2020-05-19, 902, 17, 71.7, 40.3, 33.7, 18.7, 29.9
2020-05-20, 1012, 18, 72.5, 35.3, 29.2, 6.0, 30.0
2020-05-21, 1076, 20, 78.7, 37.2, 28.9, 4.9, 29.9
2020-05-22, 1145, 22, 80.8, 37.5, 23.6, 9.5, 29.8
2020-05-23, 1214, 22, 78.8, 39.2, 27.2, 8.2, 29.8
2020-05-24, 1283, 22, 81.8, 35.8, 26.8, 4.6, 29.8
2020-05-25, 1369, 22, 85.3, 38.0, 23.4, 5.2, 29.8
2020-05-26, 1369, 23, 89.8, 36.3, 18.5, 3.6, 29.8
2020-05-27, 1443, 25, 91.7, 46.4, 23.0, 7.0, 29.8
2020-05-28, 1545, 25, 90.5, 52.6, 30.9, 7.6, 29.8
2020-05-29, 1634, 26, 87.4, 54.5, 34.7, 6.7, 29.8
