Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures
2020-05-01, 24215, 1172, 67.5, 53.3, 63.1, 8.8, 29.1
2020-05-02, 24894, 1209, 66.6, 52.3, 62.4, 6.6, 29.1
2020-05-03, 25662, 1229, 66.9, 51.7, 58.8, 6.1, 29.2
2020-05-04, 26217, 1256, 71.1, 52.0, 53.2, 5.5, 29.1
2020-05-05, 27815, 1313, 79.0, 40.0, 28.9, 4.1, 29.1
2020-05-06, 28644, 1367, 80.1, 41.7, 27.0, 3.3, 29.1
2020-05-07, 29427, 1418, 79.2, 43.3, 29.1, 4.7, 29.0
2020-05-08, 30296, 1468, 73.7, 52.0, 48.3, 5.2, 29.1
2020-05-09, 31197, 1512, 67.6, 57.0, 70.5, 6.1, 29.1
2020-05-10, 31677, 1530, 63.9, 55.6, 75.6, 6.3, 29.1
2020-05-11, 32258, 1569, 64.9, 52.1, 64.3, 5.7, 29.1
2020-05-12, 33180, 1613, 62.7, 49.4, 62.3, 6.5, 29.1
2020-05-13, 34428, 1659, 63.5, 46.0, 54.1, 6.3, 29.1
2020-05-14, 35329, 1659, 67.4, 48.6, 53.5, 7.0, 29.1
2020-05-15, 36259, 1755, 68.3, 52.3, 58.2, 7.8, 29.1
2020-05-16, 37303, 1793, 70.3, 51.1, 52.0, 5.9, 29.0
2020-05-17, 37974, 1821, 68.4, 52.8, 58.3, 6.7, 29.1
2020-05-18, 38451, 1839, 63.1, 54.7, 75.4, 8.8, 29.1
2020-05-19, 39573, 1913, 62.1, 44.7, 54.9, 5.6, 29.1
2020-05-20, 40857, 1970, 64.0, 47.3, 56.7, 6.3, 29.2
2020-05-21, 42037, 2016, 71.5, 42.9, 41.1, 4.5, 29.1
2020-05-22, 43052, 2049, 65.7, 52.6, 64.3, 8.1, 29.0
2020-05-23, 44055, 2090, 65.1, 50.5, 60.1, 7.2, 29.1
2020-05-24, 44988, 2104, 68.2, 53.4, 60.7, 4.8, 29.1
2020-05-25, 46018, 2116, 72.7, 54.5, 55.5, 5.1, 29.1
2020-05-26, 47822, 2143, 74.1, 54.7, 53.8, 5.5, 29.1
2020-05-27, 48700, 2195, 71.6, 56.0, 60.0, 6.3, 29.1
2020-05-28, 49774, 2241, 67.3, 56.4, 69.9, 6.8, 29.1
2020-05-29, 51562, 2290, 64.5, 56.0, 74.4, 6.5, 29.1
