Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures
2020-05-01, 222, 5, 60.4, 44.0, 56.3, 6.4, 29.9
2020-05-02, 222, 6, 60.5, 53.4, 78.6, 5.3, 29.9
2020-05-03, 225, 6, 58.8, 50.0, 74.1, 6.4, 29.9
2020-05-04, 235, 6, 58.1, 43.7, 59.8, 6.3, 29.9
2020-05-05, 237, 6, 59.2, 48.8, 68.8, 7.1, 29.9
2020-05-06, 240, 6, 60.5, 47.4, 62.8, 5.2, 29.9
2020-05-07, 246, 6, 61.0, 47.4, 62.6, 4.0, 29.7
2020-05-08, 249, 6, 58.6, 50.2, 74.6, 4.4, 29.7
2020-05-09, 265, 6, 56.3, 50.2, 80.6, 3.9, 29.7
2020-05-10, 273, 6, 58.3, 49.1, 72.0, 6.4, 29.7
2020-05-11, 282, 6, 62.8, 47.9, 61.1, 6.9, 29.7
2020-05-12, 286, 6, 62.4, 51.2, 67.7, 8.0, 29.8
2020-05-13, 298, 6, 61.4, 50.8, 69.6, 6.5, 29.8
2020-05-14, 309, 6, 62.8, 52.9, 70.7, 6.1, 29.9
2020-05-15, 317, 8, 61.7, 52.1, 71.8, 7.0, 29.9
2020-05-16, 321, 8, 63.1, 50.6, 64.6, 6.8, 29.7
2020-05-17, 329, 8, 66.5, 54.5, 65.7, 7.6, 29.6
2020-05-18, 342, 8, 62.5, 51.3, 67.4, 8.6, 29.7
2020-05-19, 345, 8, 59.9, 50.6, 72.7, 7.5, 29.8
2020-05-20, 350, 8, 59.9, 49.9, 70.0, 8.2, 29.9
2020-05-21, 356, 8, 59.3, 51.2, 75.0, 8.0, 29.8
2020-05-22, 371, 8, 58.8, 47.9, 67.8, 10.3, 29.8
2020-05-23, 395, 8, 58.6, 49.1, 71.8, 6.3, 29.7
2020-05-24, 403, 8, 61.3, 50.7, 69.7, 4.2, 29.7
2020-05-25, 413, 8, 66.3, 53.9, 66.1, 3.2, 29.7
2020-05-26, 429, 8, 66.2, 54.8, 67.5, 3.5, 29.6
2020-05-27, 441, 8, 56.0, 46.8, 58.3, 4.7, 29.7
2020-05-28, 469, 8, 0.0, 0.0, 0.0, 4.9, 29.7
2020-05-29, 477, 10, 66.8, 56.0, 69.0, 6.1, 29.7
