Date, Cases, Deaths, Avg Temperatures, Avg Dewpoints, Avg Humidities, Avg Windspeeds, Avg Pressures
2020-05-01, 51, 2, 11.57, 12.11, 63.1, 50.6, 64.6
2020-05-02, 51, 2, 12.97, 10.83, 66.5, 54.5, 65.7
2020-05-03, 51, 2, 6.42, 9.79, 62.5, 51.3, 67.4
2020-05-04, 52, 2, 5.37, 6.47, 59.9, 50.6, 72.7
2020-05-05, 53, 2, 5.06, 0.0, 59.9, 49.9, 70.0
2020-05-06, 53, 2, 12.0, 2.0, 59.3, 51.2, 75.0
2020-05-07, 54, 2, 8.14, 5.0, 58.8, 47.9, 67.8
2020-05-08, 55, 2, 8.27, 8.0, 58.6, 49.1, 71.8
2020-05-09, 55, 2, 6.96, 11.0, 61.3, 50.7, 69.7
2020-05-10, 55, 2, 8.11, 14.0, 66.3, 53.9, 66.1
2020-05-11, 56, 2, 12.97, 17.0, 66.2, 54.8, 67.5
2020-05-12, 58, 2, 6.47, 20.0, 56.0, 46.8, 58.3
2020-05-13, 58, 2, 8.51, 23.0, 0.0, 0.0, 0.0
2020-05-14, 59, 2, 8.53, 26.0, 66.8, 56.0, 69.0
2020-05-15, 60, 2, 11.87, 29.0, 64.6, 55.6, 72.9
2020-05-16, 61, 2, 11.2, 60.4, 44.0, 56.3, 6.4
2020-05-17, 61, 2, 6.47, 60.5, 53.4, 78.6, 5.3
2020-05-18, 61, 2, 7.96, 58.8, 50.0, 74.1, 6.4
2020-05-19, 63, 2, 8.58, 58.1, 43.7, 59.8, 6.3
2020-05-20, 64, 2, 12.11, 59.2, 48.8, 68.8, 7.1
2020-05-21, 66, 2, 12.11, 60.5, 47.4, 62.8, 5.2
2020-05-22, 69, 2, 11.93, 61.0, 47.4, 62.6, 4.0
2020-05-23, 69, 2, 11.26, 58.6, 50.2, 74.6, 4.4
2020-05-24, 70, 2, 6.47, 56.3, 50.2, 80.6, 3.9
2020-05-25, 72, 2, 8.17, 58.3, 49.1, 72.0, 6.4
2020-05-26, 76, 2, 8.33, 62.8, 47.9, 61.1, 6.9
2020-05-27, 83, 2, 7.33, 62.4, 51.2, 67.7, 8.0
2020-05-28, 85, 2, 8.82, 61.4, 50.8, 69.6, 6.5
2020-05-29, 87, 2, 10.38, 62.8, 52.9, 70.7, 6.1
